"PERMNO","Company Name","Ticker","SP500 Start","SP500 End"
"62308","TORCHMARK CORP","TMK","April 27, 1989","Dec. 31, 2024"
"63765","SOUTHWESTERN ENERGY CO","SWN","June 6, 2008","April 3, 2017"
"63830","PRECISION CASTPARTS CORP","PCP","June 1, 2007","Jan. 29, 2016"
"64186","C I G N A CORP","CI","April 8, 1982","Dec. 31, 2024"
"64282","LIMITED BRANDS INC","LTD","Sept. 15, 1983","Sept. 30, 2024"
"64311","NORFOLK SOUTHERN CORP","NSC","June 3, 1982","Dec. 31, 2024"
"64390","PROGRESSIVE CORP OH","PGR","Aug. 4, 1997","Dec. 31, 2024"
"64653","PUBLIC STORAGE","PSA","Aug. 19, 2005","Dec. 31, 2024"
"64936","DOMINION RESOURCES INC VA NEW","D","May 20, 1983","Dec. 31, 2024"
"64995","KEYCORP NEW","KEY","March 2, 1994","Dec. 31, 2024"
"65330","LEGG MASON INC","LM","April 24, 2006","Dec. 1, 2016"
"65875","VERIZON COMMUNICATIONS INC","VZ","Dec. 1, 1983","Dec. 31, 2024"
"65947","HEALTH CARE REIT INC","HCN","Jan. 30, 2009","Dec. 31, 2024"
"66093","A T & T INC","T","Dec. 1, 1983","Dec. 31, 2024"
"66157","U S BANCORP DEL","USB","Oct. 23, 1995","Dec. 31, 2024"
"66181","HOME DEPOT INC","HD","March 3, 1988","Dec. 31, 2024"
"66325","S L M CORP","SLM","July 1, 1998","April 30, 2014"
"66384","WESTERN DIGITAL CORP","WDC","July 1, 2009","Dec. 31, 2024"
"66800","AMERICAN INTERNATIONAL GROUP INC","AIG","Feb. 14, 1980","Dec. 31, 2024"
"67467","BIG LOTS INC","BIG","Jan. 20, 1998","Feb. 13, 2013"
"67598","H C P INC","HCP","March 31, 2008","Dec. 31, 2024"
"68144","SUNTRUST BANKS INC","STI","May 5, 1988","Dec. 6, 2019"
"68591","ST JUDE MEDICAL INC","STJ","Dec. 1, 1989","Jan. 4, 2017"
"69032","MORGAN STANLEY DEAN WITTER & CO","MS","Sept. 22, 1995","Dec. 31, 2024"
"69550","MYLAN INC","MYL","April 23, 2004","Nov. 16, 2020"
"69796","CONSTELLATION BRANDS INC","STZ","July 5, 2005","Dec. 31, 2024"
"70033","HARLEY DAVIDSON INC","HOG","Jan. 31, 2000","June 19, 2020"
"70308","AIRGAS INC","ARG","Sept. 9, 2009","May 20, 2016"
"70332","ANADARKO PETROLEUM CORP","APC","July 28, 1997","Aug. 8, 2019"
"70500","COCA COLA ENTERPRISES INC","CCE","Oct. 8, 1998","May 27, 2016"
"70519","CITIGROUP INC","C","May 26, 1988","Dec. 31, 2024"
"70536","SIGMA ALDRICH CORP","SIAL","Sept. 21, 1994","Nov. 18, 2015"
"70578","ECOLAB INC","ECL","Jan. 12, 1989","Dec. 31, 2024"
"71175","UNUM GROUP","UNM","March 11, 1994","Sept. 17, 2021"
"71563","B B & T CORP","BBT","Dec. 4, 1997","Dec. 31, 2024"
"72726","STATE STREET CORP","STT","Aug. 15, 1997","Dec. 31, 2024"
"73139","STRYKER CORP","SYK","Dec. 12, 2000","Dec. 31, 2024"
"75034","BAKER HUGHES INC","BHI","April 9, 1987","Dec. 31, 2024"
"75100","TIFFANY & CO NEW","TIF","June 21, 2000","Jan. 6, 2021"
"75154","CARNIVAL CORP","CCL","Dec. 22, 1998","Dec. 31, 2024"
"75186","SCHWAB CHARLES CORP NEW","SCHW","June 2, 1997","Dec. 31, 2024"
"75224","HARMAN INTL INDS INC NEW","HAR","Feb. 1, 2006","March 15, 2017"
"75241","PIONEER NATURAL RESOURCES CO","PXD","Sept. 24, 2008","May 7, 2024"
"75257","TELLABS INC","TLAB","July 3, 1995","Dec. 20, 2011"
"75489","STAPLES INC","SPLS","Oct. 7, 1998","Sept. 15, 2017"
"75510","ADOBE SYSTEMS INC","ADBE","May 6, 1997","Dec. 31, 2024"
"75573","OFFICE DEPOT INC","ODP","June 24, 1999","Dec. 17, 2010"
"75577","ALTERA CORP","ALTR","April 18, 2000","Dec. 28, 2015"
"75592","PLUM CREEK TIMBER CO INC","PCL","Jan. 17, 2002","Feb. 19, 2016"
"75607","SYMANTEC CORP","SYMC","March 31, 2003","Dec. 31, 2024"
"75646","ALLERGAN INC","AGN","Feb. 10, 1992","March 20, 2015"
"75819","VENTAS INC","VTR","March 4, 2009","Dec. 31, 2024"
"75825","EOG RESOURCES INC","EOG","Nov. 2, 2000","Dec. 31, 2024"
"75828","ELECTRONIC ARTS INC","ERTS","July 22, 2002","Dec. 31, 2024"
"76076","CISCO SYSTEMS INC","CSCO","Dec. 31, 1993","Dec. 31, 2024"
"76082","CABOT OIL & GAS CORP","COG","June 23, 2008","Dec. 31, 2024"
"76149","SAFEWAY INC","SWY","Nov. 13, 1998","Jan. 26, 2015"
"76201","XILINX INC","XLNX","Nov. 8, 1999","Feb. 14, 2022"
"76226","C B S CORP NEW","CBS","Sept. 30, 1994","Dec. 31, 2024"
"76240","B J SERVICES CO","BJS","May 15, 2002","April 29, 2010"
"76282","AUTONATION INC DEL","AN","Feb. 24, 2003","Aug. 7, 2017"
"76605","AUTOZONE INC","AZO","Jan. 2, 1997","Dec. 31, 2024"
"76619","COVENTRY HEALTH CARE INC","CVH","Aug. 30, 2005","May 8, 2013"
"76625","CEPHALON INC","CEPH","Nov. 17, 2008","Oct. 14, 2011"
"76639","TOTAL SYSTEM SERVICES INC","TSS","Jan. 2, 2008","Sept. 20, 2019"
"76644","UNITED STATES STEEL CORP NEW","X","May 7, 1991","July 1, 2014"
"76708","DEVRY INC DEL","DV","June 9, 2009","Sept. 28, 2012"
"76712","A E S CORP","AES","Oct. 2, 1998","Dec. 31, 2024"
"76841","BIOGEN IDEC INC","BIIB","Nov. 13, 2003","Dec. 31, 2024"
"77129","KIMCO REALTY CORP","KIM","April 3, 2006","Dec. 31, 2024"
